personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
4222,5.0,5.0,,,,,,,,,,,Very Low Use
4240,131.0,1.0,,,,,,,,,,2.0,Medium Use
4272,209.0,168.0,,1.0,,1.0,1.0,,,,,2.0,Very High Use
4285,,,,,,,,,,,,1.0,Very Low Use
4342,,,,,,,,,,,,1.0,Very Low Use
4372,6.0,1.0,,,,,,,,,,1.0,Very Low Use
4427,24.0,1.0,,,,,,,,,,,Very Low Use
4432,1.0,1.0,1.0,,,,,,,,,2.0,Very Low Use
4442,5.0,3.0,,,1.0,,3.0,,,,,1.0,Very Low Use
4449,,,,,1.0,,,,,,,,Very Low Use
4489,,,,1.0,,,,,,,,,Very Low Use
4499,,,,,,,,,,,,1.0,Very Low Use
4535,,,,,,,,,,,,1.0,Very Low Use
4592,,,,,,,,,,,,1.0,Very Low Use
4597,13.0,1.0,,,,,1.0,,,,,6.0,Very Low Use
4619,,,,1.0,1.0,,,,,,,1.0,Very Low Use
4664,,,,,,,,,,,,1.0,Very Low Use
4711,1.0,1.0,,,1.0,,,,,,,1.0,Very Low Use
4789,17.0,17.0,,1.0,1.0,1.0,1.0,,,,,,Low Use
4821,91.0,15.0,,1.0,1.0,2.0,2.0,,,,,1.0,Medium Use
4832,304.0,221.0,,,,,,,,,,,Very High Use
4873,210.0,8.0,,,,,,,,,1.0,2.0,High Use
4874,,,,,1.0,,2.0,,,,,,Very Low Use
4886,,,,,,,1.0,,,,,,Very Low Use
4890,,,,,,,,,,1.0,,,Very Low Use
4938,,,,,,1.0,,,,,,,Very Low Use
4942,,,,,1.0,,2.0,,,,,1.0,Very Low Use
4974,,,,,2.0,,,,,,,,Very Low Use
5007,60.0,8.0,,,,,,,,,,,Low Use
5013,,,,,,1.0,,,,,,,Very Low Use
5028,,,,,,,1.0,,,,,,Very Low Use
5132,72.0,3.0,,,,,,,,,,1.0,Low Use
5171,1.0,1.0,,,,,,,,,,,Very Low Use
5185,11.0,2.0,,1.0,1.0,,,,,,,1.0,Very Low Use
5192,,,,,1.0,1.0,,,,,,1.0,Very Low Use
5265,,,,,1.0,,,,,,,1.0,Very Low Use
5341,,,,1.0,,,,,,,1.0,,Very Low Use
5386,23.0,1.0,,,,1.0,,,,,,1.0,Very Low Use
5415,111.0,5.0,,1.0,,1.0,,,,,,,Medium Use
5433,,,,,1.0,,,,,,,1.0,Very Low Use
5459,,,,,1.0,,,,,,,1.0,Very Low Use
5473,24.0,24.0,,,,,1.0,,,,,,Low Use
5540,,,,,1.0,,,,,,,1.0,Very Low Use
5578,1.0,1.0,,,,,1.0,,,,,2.0,Very Low Use
5604,,,,,,,,,,,,1.0,Very Low Use
5644,,,,,1.0,,,,,,,,Very Low Use
5671,4.0,1.0,,,,,,,,,,,Very Low Use
5688,,,,,1.0,,,,,,,,Very Low Use
5725,175.0,1.0,,,1.0,,2.0,,,,,2.0,High Use
5766,,,,,,,1.0,,,,,,Very Low Use
5798,,,,,,,1.0,,,,,,Very Low Use
5813,17.0,3.0,,,,,,,,,,1.0,Very Low Use
5883,,,,,,,,,,,,1.0,Very Low Use
5910,64.0,25.0,,,1.0,,,,,,,1.0,Medium Use
5920,1.0,1.0,,,,,,,,,,,Very Low Use
5930,46.0,9.0,,,,1.0,,,,,,2.0,Low Use
5956,10.0,2.0,,,,,,,,,,,Very Low Use
5970,,,,,,,,,,,,1.0,Very Low Use
5971,,,,,,,,,,,,1.0,Very Low Use
5972,,,,,,,,,,,,1.0,Very Low Use
5997,,,,,,,,,,,,2.0,Very Low Use
6121,,,,,1.0,,,,,,,,Very Low Use
6126,,,,,,,,,,,,1.0,Very Low Use
6147,,,,,,,,,,,,1.0,Very Low Use
6153,14.0,1.0,,,,,3.0,,,,,1.0,Very Low Use
6200,,,,,,,,,,,1.0,,Very Low Use
6208,,,,1.0,1.0,,,,,,,,Very Low Use
6224,1.0,1.0,,,,,,,,,,,Very Low Use
6231,,,,,,,,,,,,1.0,Very Low Use
6274,20.0,3.0,,,,,,,,,,,Very Low Use
6325,,,,,,,,,,,,1.0,Very Low Use
6326,,,,,,,,,,,,1.0,Very Low Use
6331,,,,,,,,,,,,1.0,Very Low Use
6346,14.0,3.0,,,,,1.0,,,,,1.0,Very Low Use
6350,8.0,2.0,,,,1.0,,,,,,2.0,Very Low Use
6351,,,,,,,,,,,,1.0,Very Low Use
6362,,,,,1.0,,1.0,,,,,1.0,Very Low Use
6396,11.0,11.0,,,,,2.0,,,,,,Very Low Use
6464,,,,1.0,,,,,,,,,Very Low Use
6469,,,,,,,,,,,,1.0,Very Low Use
6485,182.0,172.0,,,1.0,1.0,4.0,,,,,2.0,Very High Use
6565,,,,,,,,,,,,2.0,Very Low Use
6596,11.0,1.0,,,,,,,,,,1.0,Very Low Use
6601,,,,,1.0,,,,,,,,Very Low Use
6623,3.0,3.0,,,,,,,,,,,Very Low Use
6703,,,,,1.0,,,,,,,,Very Low Use
6730,93.0,1.0,1.0,,,,,,,,,1.0,Medium Use
6738,,,,,,,2.0,,,,,2.0,Very Low Use
6742,91.0,3.0,,,,1.0,1.0,,,,,,Medium Use
