"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
7392,12,1,,,,,,,,,,
7396,,,,1,,,,,,,,
7414,,,,,1,,,,,,,
7432,,,,,1,,,,,,,2
7449,41,2,,,,1,,,,,,2
7486,69,9,,,,,1,,,,1,1
7494,2,2,,,,,,,,,,
7495,2,2,,,,,,,,,,
7535,,,,,,,,,,,,1
7550,,,,,,,1,,,,,
7570,1,1,,,,,,,,,,
7582,,,,,,,,,,,,1
7641,,,1,,,,1,,,,,
7654,1,1,,,,,2,,,,,1
7659,,,,,,,1,,,,,
7673,,,,,,,1,,,,,
7696,,,,,,,,,,,,1
7726,120,1,,,,,1,,,,,1
7736,,,,,1,,,,,,,
7745,157,1,,,,,,,,,,
7761,,,,1,,,,,,,,
7776,,,,,,,,,,,,1
7788,124,1,,,,,,,,,,1
7791,,,,,,1,,,,,,
7792,12,2,,,,,,,,,,1
7822,,,,1,,,,,,,,
7824,,,,1,,,,,,,,
7906,,,,,,,1,,,,,
7927,,,,,,,,,,,,2
7939,53,1,,,,,,,,,,
8004,16,1,,,,,,,,,,1
8121,5,5,,,,,,,,,,
8135,,,,,1,,5,,,,,1
8141,2,2,,,,,,,,,,
8144,,,1,,,,,,,,,
8160,,,1,,,,,,,,,
8162,,,,,,,,,,,,1
8174,74,73,,,2,1,,,,,,
8215,,,1,,,,1,,,,,1
8219,,,,1,,,,,,,,
8244,1,1,,,,,,,,,,
8273,,,,,,,1,,,,,1
8279,,,,,,,1,,,,,
8287,9,9,,,,,,,,,,
8305,,,,,,,,,,,,1
8313,88,1,,,,,,,,,,1
8316,,,,1,,,,,,,,
8361,27,3,,,,,,,,,,1
8362,,,,,,,1,,,,,1
8367,66,2,,,,,,,,,,1
8388,,,,,1,,,,,,,1
8396,165,4,,,,,,,,,,
8406,,,,,,,1,,,,,
8436,22,1,,,,,2,,,,,1
8496,1,1,,,,,,,,,,
8512,72,9,,,,,,,,,,2
8513,3,2,,,,,,,,,,
8567,,,,,1,,1,,,,,2
8646,28,28,,,,,,,,,,1
8648,,,,,,,,,,,,1
8676,,,,,,1,1,,,,,
8690,,,1,,,,,,,,,
8756,,,1,,,,,,,,1,1
8757,,,1,,,,,,,,,
8759,18,4,,,,1,1,,,,,2
8788,4,1,,,,,,,,,,1
8795,,,,1,,,,,,,,1
8796,,,,,,,,,,,,1
8832,,,,,,1,,,,,,
8839,,,,,,,1,,,,,1
8840,22,1,,,1,,,,,,,1
8852,71,19,,,,,,,,,,
8874,,,,,,,,,,,,1
8907,2,2,,,,,,,,,,
8957,2,1,,,,,,,,,,
8984,,,,,1,,,,,,,
9082,11,2,,,,,1,,,,,
9091,,,,,,,,,,,,1
9103,22,2,,,,,,,,,,
9125,14,1,,1,,,,,,,,
9149,,,,,1,,,,,,,1
9160,2,2,,,,,,,,,,1
9172,,,,,,,2,,,,,2
9177,,,,1,,,,,,,,
9193,,,,,,,1,,,,,
9202,113,1,,,,,1,,,,,3
